N,종목명,현재가,전일미,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
63,¹Ì·¡¿¡¼ÂÁõ±Ç,"9,070",30,-0.33%,"5,000","57,623","635,316",12.68,"526,614",6.20,8.94,
64,Çö´ëÁ¦Ã¶,"42,750",500,+1.18%,"5,000","57,048","133,446",20.49,"427,004",6.54,-2.59,
65,¸ÆÄõ¸®ÀÎÇÁ¶ó,"14,000",50,+0.36%,0,"56,678","404,846",13.85,"842,637",N/A,N/A,
66,±ÝÈ£¼®À¯,"183,500","4,500",-2.39%,"5,000","55,908","30,468",18.80,"285,739",3.28,20.18,
67,ÄÚ¿þÀÌ,"75,600",800,-1.05%,500,"55,793","73,800",60.20,"98,539",12.52,31.51,
68,ÀÏÁø¸ÓÆ¼¸®¾óÁî,"118,500","2,000",-1.66%,500,"54,641","46,111",12.47,"346,325",85.99,7.23,
69,Çö´ë°Ç¼³,"47,450","1,500",-3.06%,"5,000","52,838","111,356",21.57,"902,085",31.55,1.84,
70,KODEX 200,"39,520",10,+0.03%,0,"52,660","133,250",4.59,"2,433,032",N/A,N/A,
71,°­¿ø·£µå,"24,100",0,0.00%,500,"51,560","213,940",18.74,"594,220",-156.49,-7.92,
72,»ï¼ºÁß°ø¾÷,"5,770",10,+0.17%,"1,000","50,776","880,000",13.73,"1,614,978",-2.35,-33.06,
73,ÇÑ±¹Å¸ÀÌ¾î¾ØÅ×Å©³î·ÎÁö,"40,100","1,000",-2.43%,500,"49,674","123,875",41.66,"150,776",7.52,5.12,
74,ÇÑ±¹±ÝÀ¶ÁöÁÖ,"84,100",100,-0.12%,"5,000","46,866","55,726",34.86,"78,178",2.88,16.27,
75,Çö´ëÁß°ø¾÷ÁöÁÖ,"58,600",0,0.00%,"1,000","46,290","78,993",16.67,"92,008",-13.58,-8.12,
76,À¯ÇÑ¾çÇà,"64,100",100,+0.16%,"1,000","44,853","69,973",17.55,"125,454",46.48,11.06,
77,»ï¼º¿£Áö´Ï¾î¸µ,"22,850",50,+0.22%,"5,000","44,786","196,000",34.27,"590,604",12.65,17.32,
78,¸Þ¸®Ã÷±ÝÀ¶ÁöÁÖ,"33,150","1,200",+3.76%,500,"44,425","134,011",7.73,"323,464",6.24,16.06,
79,»ï¼ºÁõ±Ç,"49,500",0,0.00%,"5,000","44,204","89,300",29.69,"188,666",4.66,9.89,
80,ÀÌ¸¶Æ®,"153,000",0,0.00%,"5,000","42,650","27,876",33.38,"75,924",3.08,4.05,
81,¿À¸®¿Â,"107,500",0,0.00%,500,"42,501","39,536",37.67,"113,099",17.87,15.50,
82,ÇÑÁøÄ®,"63,000",700,-1.10%,"2,500","42,045","66,739",14.57,"42,394",-71.75,-19.55,
83,DB¼ÕÇØº¸Çè,"57,300",600,+1.06%,500,"40,568","70,800",42.94,"103,211",5.09,9.08,
84,µÎ»ê¹äÄ¹,"40,250","1,500",-3.59%,500,"40,350","100,249",25.60,"194,135",11.01,6.15,
85,NHÅõÀÚÁõ±Ç,"13,300",50,-0.37%,"5,000","39,506","297,034",17.59,"472,682",4.88,10.32,
